keys,ru,en
KEY_START,Играть,Start
KEY_SETTINGS,Настройки,Settings
KEY_EXIT,Выход,Exit
KEY_EXIT_CONFIRM_TITLE,Выход,Exit
KEY_EXIT_CONFIRM_TEXT,Вы уверены что хотите выйти?,Are you sure you want to exit?
KEY_EXIT_NO,Нет,No
KEY_EXIT_YES,Да,Yes
KEY_BACK,Назад,Back
KEY_AUDIO_VOLUME,Громкость звука,Audio Volume
KEY_GRAPHICS_FULLSCREEN,Полноэкранный режим,Fullscreen
KEY_LANGUAGE,Язык,Language
KEY_SETTINGS_TITLE,НАСТРОЙКИ,SETTINGS
KEY_WINDOWED,В окне,Windowed
KEY_FULLSCREEN,На весь экран,Fullscreen
KEY_BORDERLESS,Оконный без рамки,Borderless Windowed
KEY_UI_SCALE,Масштаб интерфейса,UI Scale
KEY_SUBTITLES,Субтитры,Subtitles
KEY_AUDIO_MASTER,Общая громкость,Master Volume
KEY_AUDIO_MUSIC,Музыка,Music
KEY_AUDIO_SFX,Звуковые эффекты,SFX
KEY_AUDIO_VOICE,Голос,Voice
KEY_AUDIO_UI,Интерфейс,UI
KEY_GRAPHICS_RESOLUTION,Разрешение,Resolution
KEY_GRAPHICS_DISPLAYMODE,Режим экрана,Display Mode
KEY_GRAPHICS_BLOOM,Свечение,Bloom
KEY_GRAPHICS_BRIGHTNESS,Яркость,Brightness
KEY_VSYNC,Вертикальная синхронизация,VSync
KEY_MAX_FPS,Ограничение FPS,Max FPS
KEY_UNLIMITED,Без ограничений,Unlimited
KEY_MSAA,Сглаживание MSAA,MSAA
KEY_FXAA,Быстрое сглаживание (FXAA),Fast Anti-Aliasing (FXAA)
KEY_TAA,Временное сглаживание (TAA),Temporal Anti-Aliasing (TAA)
KEY_SHADOW_QUALITY,Качество теней,Shadow Quality
KEY_SSAO,Фоновое затенение (SSAO),Ambient Occlusion (SSAO)
KEY_SSR,Отражения (SSR),Screen Space Reflections (SSR)
KEY_OFF,Выкл,Off
KEY_LOW,Низкое,Low
KEY_MEDIUM,Среднее,Medium
KEY_HIGH,Высокое,High
KEY_ULTRA,Ультра,Ultra
KEY_ON,Вкл,On
KEY_ADAPTIVE,Адаптивный,Adaptive
KEY_AA_SECTION,— Сглаживание —,— Anti-Aliasing —
KEY_QUALITY_SECTION,— Качество графики —,— Graphics Quality —
Game,Игра,Game
Audio,Звук,Audio
Graphics,Графика,Graphics
KEY_SETTINGS_EXIT,Закрыть настройки,Close Settings
SETTINGS_LABEL,Настройки,Settings
