keys,ru,en
KEY_START,Играть,Start
KEY_SETTINGS,Настройки,Settings
KEY_EXIT,Выход,Exit
KEY_EXIT_CONFIRM_TITLE,Выход,Exit
KEY_EXIT_CONFIRM_TEXT,Вы уверены что хотите выйти?,Are you sure you want to exit?
KEY_EXIT_NO,Нет,No
KEY_EXIT_YES,Да,Yes
KEY_BACK,Назад,Back
KEY_AUDIO_VOLUME,Громкость звука,Audio Volume
KEY_GRAPHICS_FULLSCREEN,Полноэкранный режим,Fullscreen
KEY_LANGUAGE,Язык,Language
KEY_SETTINGS_TITLE,НАСТРОЙКИ,SETTINGS
KEY_WINDOWED,В окне,Windowed
KEY_FULLSCREEN,На весь экран,Fullscreen
KEY_BORDERLESS,Оконный без рамки,Borderless Windowed
KEY_UI_SCALE,Масштаб интерфейса,UI Scale
KEY_SUBTITLES,Субтитры,Subtitles
KEY_AUDIO_MASTER,Общая громкость,Master Volume
KEY_AUDIO_MUSIC,Музыка,Music
KEY_AUDIO_SFX,Звуковые эффекты,SFX
KEY_AUDIO_VOICE,Голос,Voice
KEY_AUDIO_UI,Интерфейс,UI
KEY_GRAPHICS_RESOLUTION,Разрешение,Resolution
KEY_GRAPHICS_DISPLAYMODE,Режим экрана,Display Mode
KEY_GRAPHICS_BLOOM,Свечение,Bloom
KEY_GRAPHICS_BRIGHTNESS,Яркость,Brightness
KEY_VSYNC,Вертикальная синхронизация,VSync
KEY_MAX_FPS,Ограничение FPS,Max FPS
KEY_UNLIMITED,Без ограничений,Unlimited
KEY_MSAA,Сглаживание MSAA,MSAA
KEY_FXAA,Быстрое сглаживание (FXAA),Fast Anti-Aliasing (FXAA)
KEY_TAA,Временное сглаживание (TAA),Temporal Anti-Aliasing (TAA)
KEY_SHADOW_QUALITY,Качество теней,Shadow Quality
KEY_SSAO,Фоновое затенение (SSAO),Ambient Occlusion (SSAO)
KEY_SSR,Отражения (SSR),Screen Space Reflections (SSR)
KEY_OFF,Выкл,Off
KEY_LOW,Низкое,Low
KEY_MEDIUM,Среднее,Medium
KEY_HIGH,Высокое,High
KEY_ULTRA,Ультра,Ultra
KEY_ON,Вкл,On
KEY_ADAPTIVE,Адаптивный,Adaptive
KEY_AA_SECTION,— Сглаживание —,— Anti-Aliasing —
KEY_QUALITY_SECTION,— Качество графики —,— Graphics Quality —
Game,Игра,Game
Audio,Звук,Audio
Graphics,Графика,Graphics
KEY_SETTINGS_EXIT,Закрыть настройки,Close Settings
SETTINGS_LABEL,Настройки,Settings
KEY_CREATE_WORLD,Создать новый мир,Create New World
KEY_NEW_EXPEDITION,Новая Экспедиция,New Expedition
KEY_GAME_MODE,Режим:,Game Mode:
KEY_MODE_STORY,Сюжетная линия (Сектор 1),Storyline (Sector 1)
KEY_MODE_SANDBOX,Свободная игра (Песочница),Sandbox (Free Play)
KEY_STARTING_CAPITAL,Стартовый капитал:,Starting Capital:
KEY_CANCEL,Отмена,Cancel
KEY_NO_SAVES_FOUND,Нет сохраненных экспедиций.,No saved expeditions found.
KEY_SEARCHING_SERVERS,Идёт поиск серверов в локальной сети...,Searching for servers on the local network...
KEY_IP_ADDRESS,IP Адрес:,IP Address:
KEY_DIRECT_CONNECT,Быстрое подключение,Direct Connect
KEY_ADD_FAVORITE,Добавить в избранное,Add to Favorites
KEY_CREATE_SERVER,Создать сервер (Host),Create Server (Host)
KEY_CONNECT,Подключиться,Connect
KEY_WORLD_SEED,Сид мира:,World Seed:
KEY_SEED_PLACEHOLDER,Введите сид или оставьте пустым,Enter seed or leave empty
KEY_RANDOM_SEED,Случайный сид,Random Seed
KEY_PAUSE_TITLE,ПАУЗА,PAUSED
KEY_RESUME,Продолжить,Resume
KEY_MAIN_MENU,Главное меню,Main Menu
KEY_SAVING,Сохранение...,Saving...
KEY_LOAD,Загрузить,Load
KEY_DELETE,Удалить,Delete
KEY_SNAPSHOT_TAKEN,Снимок сохранён,Snapshot saved
KEY_DEBUG_RENDER,═ РЕНДЕР ═,═ RENDER ═
KEY_DEBUG_MEMORY,═ ПАМЯТЬ ═,═ MEMORY ═
KEY_DEBUG_WORLD,═ МИР ═,═ WORLD ═
KEY_DEBUG_HINT,F3 — Дебаг | F4 — Снимок,F3 — Debug | F4 — Snapshot
KEY_CONTROLS_MOVE,Движение камеры,Camera Movement
KEY_CONTROLS_ROTATE,Вращение камеры,Camera Rotation
KEY_CONTROLS_ZOOM,Зум камеры,Camera Zoom
KEY_CONTROLS_CURSOR,Управление курсором,Cursor Control
KEY_CONTROLS_PLACE,Построить / Принять,Place / Accept
KEY_CONTROLS_PAUSE,Пауза / Назад,Pause / Back
KEY_RENDER_SCALE,Масштаб рендера,Render Scale
KEY_FSR_SHARPNESS,Резкость FSR,FSR Sharpness
KEY_MASTER_VOLUME,Общая громкость,Master Volume
KEY_MUSIC_VOLUME,Музыка,Music
KEY_SFX_VOLUME,Звуковые эффекты,SFX
KEY_VOICE_VOLUME,Голос,Voice
KEY_UI_VOLUME,Интерфейс,UI
KEY_RESOLUTION,Разрешение,Resolution
KEY_DISPLAY_MODE,Режим экрана,Display Mode
KEY_ACTION_MOVE_FORWARD,Вперед,Forward
KEY_ACTION_MOVE_BACKWARD,Назад,Backward
KEY_ACTION_MOVE_LEFT,Влево,Left
KEY_ACTION_MOVE_RIGHT,Вправо,Right
KEY_ACTION_UI_ACCEPT,Выбор / Подтвердить,Select / Accept
KEY_ACTION_UI_CANCEL,Отмена / Назад,Cancel / Back
Controls,Управление,Controls
KEY_CONTROLS_MOVE_UP,Движение камеры: Вверх,Camera Move: Up
KEY_CONTROLS_MOVE_DOWN,Движение камеры: Вниз,Camera Move: Down
KEY_CONTROLS_MOVE_LEFT,Движение камеры: Влево,Camera Move: Left
KEY_CONTROLS_MOVE_RIGHT,Движение камеры: Вправо,Camera Move: Right
KEY_CONTROLS_ROTATE_LEFT,Вращение камеры: Влево,Camera Rotate: Left
HUD_MONEY,Деньги: $%d,Money: $%d
HUD_POWER,Энергия: %d/%d kW,Power: %d/%d kW
HUD_STAFF,Персонал: %d,Staff: %d
HUD_TIME,День %d,Day %d
HUD_BTN_TERRAFORM,Терраформинг,Terraforming
HUD_BTN_PATHS,Дорожки,Paths
HUD_BTN_ENCLOSURES,Вольеры,Enclosures
HUD_BTN_INFRA,Инфраструктура,Infrastructure
HUD_BTN_SHOP,Магазин (F4),Shop (F4)
SHOP_TITLE,Магазин: Животные и Вольеры,Shop: Animals & Enclosures
SHOP_BTN_BUY,Купить,Buy
SHOP_NO_ENCLOSURE,Сначала выберите вольер!,Select an enclosure first!
